1-->UdpPacket [目标ip/192.168.75.255, 目标端口=138, 本地ip=/192.168.75.1, 本地端口=138, len=243]
2-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
3-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
4-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
5-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
6-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
7-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
8-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
9-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
10-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
11-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
12-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
13-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
14-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
15-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
16-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
17-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
18-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=53758, len=215]
19-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=53758, len=215]
20-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=53758, len=215]
21-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=53758, len=215]
22-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, len=75]
23-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, len=95]
24-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, len=75]
25-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, len=95]
26-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, len=77]
27-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, len=97]
28-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, len=42]
29-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, len=75]
30-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, len=77]
31-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, len=97]
32-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, len=95]
33-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, len=75]
34-->UdpPacket [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=65389, len=91]
35-->UdpPacket [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=65389, len=71]
36-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, len=95]
37-->UdpPacket [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=65012, len=89]
38-->UdpPacket [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=65012, len=69]
39-->UdpPacket [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=56220, len=89]
40-->UdpPacket [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=56220, len=69]
41-->UdpPacket [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=65389, len=91]
42-->UdpPacket [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=65389, len=71]
43-->UdpPacket [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=65012, len=89]
44-->UdpPacket [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=65012, len=69]
45-->UdpPacket [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=56220, len=89]
