1-->ArpPacket [目标ip/192.168.75.254, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
2-->ArpPacket [目标ip/192.168.75.1, 目标网卡地址=00:50:56:c0:00:08, 本地ip=/192.168.75.254, 本地网卡地址=00:50:56:f0:4f:66, 长度len=42]
3-->UdpPacket [目标ip/192.168.75.254, 目标端口=67, 本地ip=/192.168.75.1, 本地端口=68, 长度len=358]
4-->UdpPacket [目标ip/192.168.75.1, 目标端口=68, 本地ip=/192.168.75.254, 本地端口=67, 长度len=342]
5-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=81]
6-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=101]
7-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=139]
8-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=81]
9-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=101]
10-->UdpPacket [目标ip/ff02:0:0:0:0:0:1:3, 目标端口=5355, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=52120, 长度len=95]
11-->UdpPacket [目标ip/ff02:0:0:0:0:0:0:fb, 目标端口=5353, 本地ip=/fe80:0:0:0:6c1a:8c8b:c4d2:6e5a, 本地端口=5353, 长度len=139]
12-->UdpPacket [目标ip/224.0.0.252, 目标端口=5355, 本地ip=/192.168.75.1, 本地端口=52120, 长度len=75]
13-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=119]
14-->UdpPacket [目标ip/224.0.0.251, 目标端口=5353, 本地ip=/192.168.75.1, 本地端口=5353, 长度len=119]
15-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
16-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
17-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
18-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
19-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
20-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
21-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
22-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
23-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
24-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
25-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=52122, 长度len=215]
26-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=52122, 长度len=215]
27-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=52122, 长度len=215]
28-->UdpPacket [目标ip/239.255.255.250, 目标端口=1900, 本地ip=/192.168.75.1, 本地端口=52122, 长度len=215]
29-->ArpPacket [目标ip/192.168.75.2, 目标网卡地址=00:00:00:00:00:00, 本地ip=/192.168.75.1, 本地网卡地址=00:50:56:c0:00:08, 长度len=42]
